name,category,address,road_address,phone,url,latitude,longitude,menu
웨디의하루,일식,경기 안성시 공도읍 마정리 349-9,경기 안성시 공도읍 상마정길 49,031-656-9072,http://place.map.kakao.com/1596262317,36.9907164,127.1383563,일식
그루터기,양식,경기 안성시 공도읍 만정리 642-2,경기 안성시 공도읍 덕봉서원로 265,031-652-9672,http://place.map.kakao.com/20835955,36.9878873,127.1398682,양식
남포동직화쭈꾸미 본점,한식,경기 안성시 공도읍 마정리 144-71,경기 안성시 공도읍 문터길 16-6,031-655-0006,http://place.map.kakao.com/1243776235,36.9917422,127.1377763,한식
어부의밥상,한식,경기 안성시 공도읍 만정리 173-5,경기 안성시 공도읍 만가대길 74,031-692-8585,http://place.map.kakao.com/8008092,36.9860919,127.1407181,한식
족발야시장,한식,경기 안성시 공도읍 마정리 201-5,경기 안성시 공도읍 서동대로 3985-11,031-692-2929,http://place.map.kakao.com/27098276,36.991206,127.137172,한식
안성의딸 보양식전문,양식,경기 안성시 금광면 오산리 254-1,경기 안성시 금광면 금광오산로 50-2,,http://place.map.kakao.com/482630021,,,
우리한양식당,양식,경기 평택시 합정동 734-4,경기 평택시 중앙2로 34-1,031-652-4907,http://place.map.kakao.com/19677996,,,
미양식당,양식,경기 안성시 서인동 13-83,경기 안성시 시장길 37,031-675-2411,http://place.map.kakao.com/21287909,,,
노브랜드버거 안성석정점,양식,경기 안성시 석정동 267-2,경기 안성시 중앙로 328,031-673-3353,http://place.map.kakao.com/523974734,,,
피자헛 안성석정점,양식,경기 안성시 석정동 139-1,경기 안성시 아양2로 109,031-672-2201,http://place.map.kakao.com/566642156,,,
피자스쿨 안성금산교차로점,양식,경기 안성시 연지동 102,경기 안성시 안성맞춤대로 1088,031-674-2382,http://place.map.kakao.com/13055480,,,
피자파는집 경기안성점,양식,경기 안성시 연지동 104,경기 안성시 안성맞춤대로 1086-1,031-673-2934,http://place.map.kakao.com/1251471633,,,
피자어때,양식,경기 안성시 연지동 112,경기 안성시 중앙로389번길 53,031-676-3335,http://place.map.kakao.com/351141848,,,
임실치즈피자앤치킨,양식,경기 안성시 연지동 88,경기 안성시 중앙로389번길 46,,http://place.map.kakao.com/24165171,,,
피자닭터 안성점,양식,경기 안성시 연지동 103,경기 안성시 중앙6길 5,070-4848-1314,http://place.map.kakao.com/1051520229,,,
피자는치즈빨 안성점,양식,경기 안성시 연지동 105,경기 안성시 안성맞춤대로 1086,031-8052-2229,http://place.map.kakao.com/361612971,,,
장수돈까스,일식,경기 안성시 보개면 상삼리 78-1,경기 안성시 보개면 서동대로 5804,031-677-8832,http://place.map.kakao.com/2131641682,,,
안성초밥집,일식,경기 안성시 석정동 232-1,경기 안성시 중앙로302번길 13,031-671-8213,http://place.map.kakao.com/683072086,,,
홍익돈까스 안성점,일식,경기 안성시 옥산동 80-7,경기 안성시 중앙로 134,031-676-9977,http://place.map.kakao.com/633515051,,,
안성초밥집,일식,경기 안성시 석정동 232-1,경기 안성시 중앙로302번길 13,031-671-8213,http://place.map.kakao.com/683072086,,,
스시대장 안성2호점,일식,경기 안성시 석정동 139-1,경기 안성시 아양2로 109,031-677-6354,http://place.map.kakao.com/305025906,,,
와다라멘 안성점,일식,경기 안성시 연지동 97,경기 안성시 안성맞춤대로 1090,,http://place.map.kakao.com/1322522903,,,
짬뽕지존 공도점,중식,경기 안성시 공도읍 만정리 304-4,경기 안성시 공도읍 서동대로 4290-44,031-691-4950,http://place.map.kakao.com/1315402318,,,
맞춤짬뽕,중식,경기 안성시 보개면 북가현리 498-2,경기 안성시 보개면 보개원삼로 1227-2,,http://place.map.kakao.com/1487267974,,,
훈짬뽕,중식,경기 안성시 서운면 현매리 229-9,경기 안성시 서운면 서미로 17,031-676-2451,http://place.map.kakao.com/580145799,,,
일품짜장중화요리,중식,경기 안성시 서운면 현매리 224-19,경기 안성시 서운면 서미로 4,,http://place.map.kakao.com/100649166,,,
최고야 왕갈비짬뽕,중식,경기 안성시 미양면 계륵리 2-2,경기 안성시 미양면 안성맞춤대로 733,,http://place.map.kakao.com/658595292,,,
명가교동짬뽕 안성중대점,중식,경기 안성시 대덕면 내리 678-9,경기 안성시 대덕면 대학3길 27,031-676-3393,http://place.map.kakao.com/2136395817,,,
홍가네짬뽕,중식,경기 안성시 양성면 난실리 244-4,경기 안성시 양성면 양성로 686,031-674-6633,http://place.map.kakao.com/16180047,,,
셰셰짜장마을,중식,경기 안성시 양성면 노곡리 322-4,경기 안성시 양성면 안성맞춤대로 2289-9,031-671-0688,http://place.map.kakao.com/11538335,,,
진아짬뽕,중식,경기 안성시 양성면 방신리 277,경기 안성시 양성면 덕봉서원로 310,031-675-5233,http://place.map.kakao.com/27557584,,,
수타짬뽕의고수,중식,경기 안성시 원곡면 외가천리 188-10,경기 안성시 원곡면 만세로 1366,031-658-3359,http://place.map.kakao.com/995636831,,,
고삼지중화요리,중식,경기 안성시 고삼면 가유리 214-3,경기 안성시 고삼면 안성맞춤대로 1979,,http://place.map.kakao.com/1607738969,,,
백년교동짬뽕 일죽직영점,중식,경기 안성시 일죽면 능국리 345-9,경기 안성시 일죽면 노성로 8-10,031-672-5256,http://place.map.kakao.com/484041195,,,
강릉교동짬뽕 안성중앙로점,중식,경기 안성시 석정동 4-1,경기 안성시 중앙로371번길 7,,http://place.map.kakao.com/1296065065,,,
교동짬뽕,중식,경기 안성시 봉산동 39-13,경기 안성시 월덕천길 1-8,031-675-5556,http://place.map.kakao.com/17763186,,,
홍게짬뽕 연지점,중식,경기 안성시 연지동 41,경기 안성시 중앙로389번길 64,031-673-7190,http://place.map.kakao.com/1247467500,,,
남포동직화쭈꾸미 본점,한식,경기 안성시 공도읍 마정리 144-71,경기 안성시 공도읍 문터길 16-6,031-655-0006,http://place.map.kakao.com/1243776235,,,
백년 손님서서갈비 공도직영점,한식,경기 안성시 공도읍 마정리 147-20,경기 안성시 공도읍 서동대로 4499-1,031-654-4492,http://place.map.kakao.com/693805966,,,
안성토종순대국,한식,경기 안성시 공도읍 양기리 157-2,경기 안성시 공도읍 서동대로 4572,,http://place.map.kakao.com/16863614,,,
성시현쭈꾸미,한식,경기 안성시 공도읍 용두리 275-93,경기 안성시 공도읍 기업단지로 2,031-658-2004,http://place.map.kakao.com/873978990,,,
자작나무갈비 안성 공도점,한식,경기 안성시 공도읍 진사리 10-3,경기 안성시 공도읍 서동대로 3924,031-651-1028,http://place.map.kakao.com/1221994147,,,
24시전주명품콩나물국밥,한식,경기 안성시 공도읍 진사리 22-45,경기 안성시 공도읍 진사길 3,031-657-0695,http://place.map.kakao.com/25068269,,,
